City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
233,Calamar,CO,10.2511,-74.9146,82.35,94,100,4.43,overcast clouds
234,Katsuura,JP,35.1333,140.3,73.51,79,57,15.64,broken clouds
235,Rawson,AR,-43.3002,-65.1023,50.52,57,0,11.18,clear sky
236,Lubbock,US,33.6001,-101.8338,70.38,67,1,4.0,clear sky
237,Aloleng,PH,16.1307,119.7824,85.14,76,34,12.48,scattered clouds
238,Shakhtinsk,KZ,49.71,72.5872,77.56,17,13,12.35,few clouds
239,Floro,NO,61.5996,5.0328,57.27,100,75,5.75,broken clouds
240,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,2.3,broken clouds
241,Biloela,AU,-24.4167,150.5,64.99,44,0,7.58,clear sky
242,Husavik,IS,66.0449,-17.3389,54.12,79,97,10.38,overcast clouds
243,Abu Samrah,SY,35.3029,37.1841,82.2,38,0,12.8,clear sky
244,Burnie,AU,-41.0667,145.9167,50.92,76,4,0.63,clear sky
245,Guerrero Negro,MX,27.9769,-114.0611,69.46,82,0,16.06,clear sky
246,Lata,PT,40.1629,-8.3327,68.92,77,1,2.48,clear sky
247,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,46.87,79,11,8.84,few clouds
248,Lodja,CD,-3.4833,23.4333,78.82,70,99,4.94,overcast clouds
249,Preobrazheniye,RU,42.9019,133.9064,62.4,69,100,2.35,overcast clouds
250,Inirida,CO,3.8653,-67.9239,71.96,99,100,0.54,overcast clouds
251,Chifeng,CN,42.2683,118.9636,65.91,54,100,5.68,overcast clouds
252,Taoudenni,ML,22.6783,-3.9836,100.09,22,26,15.43,scattered clouds
253,Castro,BR,-24.7911,-50.0119,55.92,98,100,6.78,overcast clouds
254,Juybar,IR,36.6412,52.9124,84.22,57,14,8.39,few clouds
255,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,75,4.61,broken clouds
256,Ayagoz,KZ,47.9714,80.4392,78.17,14,61,9.51,broken clouds
257,Broken Hill,AU,-31.95,141.4333,66.63,29,0,7.9,clear sky
258,Nhulunbuy,AU,-12.2333,136.7667,79.41,69,35,9.22,scattered clouds
259,Lukiv,UA,51.0521,25.4006,70.18,50,97,12.66,overcast clouds
260,Te Anau,NZ,-45.4167,167.7167,38.61,96,70,5.77,broken clouds
261,Cabo San Lucas,MX,22.8909,-109.9124,82.51,80,12,9.93,few clouds
262,Najran,SA,17.4924,44.1277,91.47,13,13,10.4,few clouds
263,Bose,IT,45.4612,8.0137,73.74,94,100,2.95,overcast clouds
264,Novikovo,RU,51.1537,37.8879,60.46,33,0,9.01,clear sky
265,Elk,PL,53.8282,22.3647,58.8,84,100,11.86,light rain
266,Terney,RU,45.0503,136.6092,60.53,76,100,6.91,overcast clouds
267,Zhigansk,RU,66.7697,123.3711,47.26,58,100,2.35,overcast clouds
268,Vallenar,CL,-28.5708,-70.7581,53.33,59,3,0.67,clear sky
269,Atbasar,KZ,51.8,68.3333,76.48,26,68,22.55,broken clouds
270,San Pedro,PH,14.35,121.0167,83.35,79,97,5.44,overcast clouds
271,Champerico,GT,14.3,-91.9167,81.36,88,63,7.34,broken clouds
272,Mora,CM,11.0461,14.1401,88.27,53,55,3.78,broken clouds
273,Sishui,CN,35.6489,117.2758,82.53,57,3,2.68,clear sky
274,Garzon,CO,2.1959,-75.6278,65.08,90,76,2.26,broken clouds
275,Mikuni,JP,36.2171,136.1519,73.35,75,52,0.72,broken clouds
276,Gimbi,ET,9.1667,35.8333,68.74,74,39,2.3,light rain
277,Maragogi,BR,-9.0122,-35.2225,76.57,77,17,9.13,few clouds
278,Kruisfontein,ZA,-34.0033,24.7314,56.88,65,87,17.56,light rain
279,Georgetown,MY,5.4112,100.3354,89.53,77,20,5.75,moderate rain
280,Sayyan,YE,15.1718,44.3244,75.25,16,56,9.53,broken clouds
281,Berlin,DE,52.5244,13.4105,65.79,82,75,10.0,broken clouds
282,Dawei,MM,14.0833,98.2,76.28,97,100,7.56,overcast clouds
283,Saint-Pierre,RE,-21.3393,55.4781,79.18,61,20,5.75,few clouds
284,Puerto Escondido,MX,15.85,-97.0667,78.66,88,23,4.05,few clouds
285,Sakakah,SA,29.9697,40.2064,93.24,16,0,6.33,clear sky
286,Puerto Gaitan,CO,4.3133,-72.0816,72.19,90,100,2.13,overcast clouds
287,Asfi,MA,32.2994,-9.2372,72.88,69,0,9.82,clear sky
288,Marrakesh,MA,31.6315,-8.0083,71.67,68,75,4.61,broken clouds
289,Klaksvik,FO,62.2266,-6.589,52.72,80,6,10.92,clear sky
290,Dicabisagan,PH,17.0818,122.4157,84.6,73,91,4.27,overcast clouds
291,Cusset,FR,46.13,3.4596,67.68,81,57,2.17,broken clouds
