City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Thanh Hoa,VN,2021-09-16 08:22:02,19.8,105.7667,83.77,82,100,7.34
158,Upernavik,GL,2021-09-16 08:13:08,72.7868,-56.1549,27.32,80,100,7.47
159,Baoro,CF,2021-09-16 08:22:03,5.6667,15.9667,78.76,76,100,2.66
160,Ribeira Grande,PT,2021-09-16 08:13:15,38.5167,-28.7,70.2,83,20,0.0
161,Celestun,MX,2021-09-16 08:22:05,20.8667,-90.4,78.19,83,61,8.95
162,Tabas,IR,2021-09-16 08:22:06,33.5959,56.9244,96.13,7,0,2.64
163,Ambon,ID,2021-09-16 08:19:33,-3.6954,128.1814,82.54,83,40,5.75
164,Lavrentiya,RU,2021-09-16 08:18:51,65.5833,-171.0,36.41,72,99,8.79
165,Campagna,IT,2021-09-16 08:22:07,40.6653,15.1059,76.42,65,0,1.99
166,Torbay,CA,2021-09-16 08:14:58,47.6666,-52.7314,54.57,87,92,1.99
167,Port Blair,IN,2021-09-16 08:15:15,11.6667,92.75,78.17,84,100,7.9
168,Buraydah,SA,2021-09-16 08:19:02,26.326,43.975,93.65,12,0,0.63
169,Vao,NC,2021-09-16 08:20:52,-22.6667,167.4833,69.26,60,15,18.84
170,Santa Maria,BR,2021-09-16 08:22:10,-29.6842,-53.8069,45.7,93,1,4.29
171,Changji,CN,2021-09-16 08:22:10,44.0167,87.3167,84.99,20,20,6.71
172,Khasan,RU,2021-09-16 08:18:30,42.4308,130.6434,64.69,85,100,3.44
173,Xuddur,SO,2021-09-16 08:22:12,4.1213,43.8894,86.45,46,85,18.01
174,Erenhot,CN,2021-09-16 08:13:42,43.6475,111.9767,72.93,25,0,3.06
175,Fairbanks,US,2021-09-16 08:15:02,64.8378,-147.7164,44.6,73,90,8.05
176,Kurilsk,RU,2021-09-16 08:22:13,45.2333,147.8833,53.85,71,37,4.18
177,Salamiyah,SY,2021-09-16 08:22:14,35.0113,37.0532,80.11,42,0,16.69
